Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Start Year,Start Month,Start Day,End Year,End Month,End Day,"Total Damage, Adjusted ('000 US$)",Total Deaths,Total Affected
Hydrological,Flood,Riverine flood,Indonesia,2004,2,18.0,2004,2.0,23.0,99645.0,5.0,13000.0
Meteorological,Storm,Severe weather,Indonesia,2004,2,3.0,2004,2.0,5.0,,4.0,2400.0
Climatological,Drought,Drought,Indonesia,2003,8,,2003,9.0,,1705.0,,15000.0
Meteorological,Storm,Tropical cyclone,Philippines,2003,7,30.0,2003,7.0,31.0,249.0,,3748.0
Hydrological,Flood,Riverine flood,Thailand,2003,10,3.0,2003,10.0,25.0,,,
Hydrological,Landslide,Landslide (wet),Philippines,2003,12,19.0,2004,1.0,7.0,11937.0,255.0,217988.0
Hydrological,Flood,Flash flood,Malaysia,2003,11,29.0,2003,12.0,2.0,,5.0,3000.0
Meteorological,Storm,Tropical cyclone,Philippines,2003,7,19.0,2003,7.0,23.0,45134.0,21.0,14280.0
Geophysical,Earthquake,Ground movement,Indonesia,2003,1,23.0,2003,1.0,23.0,,,2502.0
Hydrological,Landslide,Landslide (wet),Indonesia,2003,1,31.0,2003,1.0,31.0,,10.0,20.0
Hydrological,Landslide,Landslide (wet),Indonesia,2003,1,29.0,2003,1.0,29.0,,21.0,1760.0
Climatological,Drought,Drought,Cambodia,2002,1,,2002,7.0,,66269.0,,650000.0
Hydrological,Flood,Riverine flood,Vietnam,2009,9,25.0,2009,9.0,28.0,,17.0,40000.0
Hydrological,Flood,Riverine flood,Indonesia,2002,11,19.0,2002,12.0,3.0,2790.0,13.0,87000.0
Meteorological,Storm,Lightning/Thunderstorms,Vietnam,2002,10,,2002,10.0,,174.0,,1800.0
Hydrological,Flood,Riverine flood,Myanmar,2002,8,,2002,8.0,,,21.0,50000.0
Hydrological,Flood,Riverine flood,Cambodia,2002,8,18.0,2002,11.0,26.0,174.0,29.0,1470000.0
Meteorological,Storm,Hail,Thailand,2002,4,23.0,2002,4.0,23.0,,,2500.0
Hydrological,Flood,Riverine flood,Indonesia,2002,3,27.0,2002,3.0,30.0,,14.0,780.0
Hydrological,Flood,Riverine flood,Indonesia,2002,1,13.0,2002,1.0,18.0,,13.0,2000.0
Hydrological,Flood,Flood (General),Lao People's Democratic Republic,2001,8,,2001,8.0,,,,453000.0
